,product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count
1010,B07GVGTSLN,"Wayona Usb Type C Fast Charger Cable Fast Charging Usb C Cable/Cord Compatible For Samsung Galaxy S10E S10 S9 S8 Plus S10+,Note 10 Note 9 Note 8,S20,M31S,M40,Realme X3,Pixel 2 Xl (3 Ft Pack Of 1,Grey)",Computers&accessories,325.0,1299.0,75.0,4.2,10576
1011,B01LYLJ99X,HP v222w 64GB USB 2.0 Pen Drive (Silver),Computers&accessories,449.0,1300.0,65.0,4.2,4959
1012,B014SZPBM4,"Duracell Ultra Alkaline D Battery, 2 Pcs",Electronics,380.0,400.0,5.0,4.4,2111
1013,B08CZHGHKH,BESTOR® LCD Writing Tablet/pad 12 inches | Electronic Writing Scribble Board for Kids | Kids Learning Toy | Portable Ruff for LCD Paperless Memo Digital Tablet Notepad E-Writer/Writing/Drawing Pad Home/School/Office (Black),Computers&accessories,499.0,1399.0,64.0,3.9,1462
1016,B08S74GTBT,"Zebronics Astra 10 Portable Wireless BT v5.0 Speaker, 10W RMS Power, 15* Hours Backup, 2.25"" Drive Size, up to 6.4"" Mobile Holder Support, Carry Handle, USB, mSD, AUX Input and FM Radio with Antenna",Electronics,799.0,1999.0,60.0,3.7,418
1018,B0BMXMLSMM,"Lapster 65W compatible for OnePlus Dash Warp Charge Cable , type c to c cable fast charging Data Sync Cable Compatible with One Plus 10R / 9RT/ 9 pro/ 9R/ 8T/ 9/ Nord & for All Type C Devices – Red, 1 Meter",Computers&accessories,199.0,999.0,80.0,4.5,127
1019,B0141EZMAI,"Gizga Essentials USB WiFi Adapter for PC, 150 Mbps Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows, Mac OS & Linux Kernel | WPA/WPA2 Encryption Standards| Black",Computers&accessories,269.0,800.0,66.0,3.6,10134
1020,B07QMRHWJD,"SWAPKART Portable Flexible Adjustable Eye Protection USB LED Desk Light Table Lamp for Reading, Working on PC, Laptop, Power Bank, Bedroom ( Multicolour )",Computers&accessories,298.0,999.0,70.0,4.3,1552
1021,B07W7Z6DVL,"Infinity (JBL Fuze 100, Wireless Portable Bluetooth Speaker with Mic, Deep Bass, Dual Equalizer, IPX7 Waterproof, Rugged Fabric Design (Black)",Electronics,1499.0,2999.0,50.0,4.1,25262
1023,B00H47GVGY,"USHA Quartz Room Heater with Overheating Protection (3002, Ivory, 800 Watts)",Home&kitchen,1199.0,1695.0,29.0,3.6,13300
